year_month,highlight_count,time_read_minutes,time_read_hours,top_category,top_category_highlights,top_category_time_minutes,cumulative_time_minutes,cumulative_time_hours
2024-09,66,1320,22.0,DevOps/Cloud,66,1320,1320,22.0
2024-10,107,2140,35.67,Algorithms/CS,96,1920,3460,57.67
2024-11,270,5400,90.0,DevOps/Cloud,168,3360,8860,147.67
2024-12,297,5940,99.0,AI/ML,123,2460,14800,246.67
2025-01,74,1480,24.67,Python/Programming,74,1480,16280,271.33
2025-03,4,80,1.33,Python/Programming,4,80,16360,272.67
2025-05,202,4040,67.33,DevOps/Cloud,142,2840,20400,340.0
2025-06,224,4480,74.67,DevOps/Cloud,76,1520,24880,414.67
2025-07,200,4000,66.67,AI/ML,94,1880,28880,481.33
2025-08,192,3840,64.0,AI/ML,146,2920,32720,545.33
2025-09,71,1420,23.67,AI/ML,69,1380,34140,569.0
2025-11,1,20,0.33,AI/ML,1,20,34160,569.33
2025-12,25,500,8.33,Data Engineering,25,500,34660,577.67
2026-01,220,4400,73.33,AI/ML,220,4400,39060,651.0
