personID,artistName,segment
1,Meg Buckley,Previously Active Listeners
1,Mia Makaroff,Moderate listeners
1,Allman Brothers Band,Previously Active Listeners
1,MAS Vocal,Light listeners
1,Anything Goes New Broadway Company Orchestra,Light listeners
1,Pascale Faye,Previously Active Listeners
1,Cantus,Moderate listeners
1,Rob McClure,Light listeners
1,Azealia Banks,Previously Active Listeners
1,Rhon Saunders,Light listeners
1,The Londoners,Previously Active Listeners
1,Motion Picture Cast of Hairspray,Moderate listeners
1,Renee Winston,Previously Active Listeners
1,Ashnikko,Light listeners
1,Chestor Gregory II,Previously Active Listeners
1,JENNIE,Previously Active Listeners
1,John Mcmartin,Previously Active Listeners
1,Kristin Chenoweth,Moderate listeners
1,Original Broadway Cast of Hamilton,Light listeners
1,Wizkid,Previously Active Listeners
1,Martin Gonzalez,Light listeners
1,Willie Nelson,Previously Active Listeners
1,Pixie Davies,Previously Active Listeners
1,Michael Rupert,Previously Active Listeners
1,Elle McLemore,Moderate listeners
1,Vanessa,Previously Active Listeners
1,Stellan Skarsgård,Previously Active Listeners
1,Henry Mancini,Previously Active Listeners
1,Caissie Levy,Previously Active Listeners
1,'Legally Blonde' Greek Chorus,Previously Active Listeners
1,Kate Wetherhead,Previously Active Listeners
1,Jonathan Freeman,Previously Active Listeners
1,Howard Ashman,Previously Active Listeners
1,Ben Platt,Light listeners
1,Bob Dylan,Previously Active Listeners
1,Maddie Baillio,Light listeners
1,Iceland Symphony Orchestra,Light listeners
1,Phoebe Strole,Light listeners
1,Kate Shindle,Previously Active Listeners
1,Bill Evans Trio,Previously Active Listeners
1,Mýa,Previously Active Listeners
1,Troye Sivan,Previously Active Listeners
1,Grey Henson,Light listeners
1,Lord Afrixana,Previously Active Listeners
1,Christopher Watson,Light listeners
1,Kristolyn Lloyd,Light listeners
1,Darlene Love,Previously Active Listeners
1,Phoebe Thomson,Light listeners
1,Ben Whishaw,Previously Active Listeners
1,Slightly Stoopid,Previously Active Listeners
1,The Company,Previously Active Listeners
1,Mariachi Vargas de Tecalitlan,Light listeners
1,J Balvin,Previously Active Listeners
1,Dick Van Dyke,Previously Active Listeners
1,Duke Ellington,Previously Active Listeners
1,cupcakKe,Light listeners
1,Billy Eichner,Previously Active Listeners
1,City Girls,Light listeners
1,Sara Ramirez,Previously Active Listeners
1,VeggieTales,Light listeners
1,Cast of Mamma Mia! The Movie,Previously Active Listeners
