personID,episode,audiobook,localTrack,track.addedDate,track.trackName,track.artistName,track.albumName,playlist.name,playlist.lastModifiedDate,playlist.description,playlist.numberOfFollowers,track,localTrack.uri,episode.episodeName,episode.showName,episode.episodeID,track.id
1,,,,2025-06-05,Suddenly Seymour,Hunter Foster,Little Shop Of Horrors - New Broadway Cast,That Thing Called Love,2025-06-05,,0,,,,,,1qXO4TSlXbCqh3VvSrqqd2
1,,,,2025-06-05,"On My Own (from ""Les Misérables"") - Live",Lea Salonga,Hey Mr. Producer: The Musical World of Cameron Mackintosh (A Live Recording at the Lyceum Theatre),That Thing Called Love,2025-06-05,,0,,,,,,7tAoKbsjXmAapZagDMAuIE
1,,,,2025-06-05,"As Long As You're Mine - From ""Wicked"" Original Broadway Cast Recording/2003",Stephen Schwartz,Wicked,That Thing Called Love,2025-06-05,,0,,,,,,3IvflXoxqRVwNvpKhjIOv6
1,,,,2025-06-05,First Burn,Ari Afsar,First Burn,That Thing Called Love,2025-06-05,,0,,,,,,1A2gifkaEngunqZAFHUS0j
1,,,,2025-06-05,Summer Nights - From “Grease”,John Travolta,Grease,That Thing Called Love,2025-06-05,,0,,,,,,2AVkArcfALVk2X8sfPRzya
1,,,,2025-06-05,Partner in Crime,Andrew Keenan-Bolger,Tuck Everlasting (Original Broadway Cast Recording),That Thing Called Love,2025-06-05,,0,,,,,,1FpeZwANivcNV3VQiTynJK
1,,,,2025-06-05,It's De-Lovely,Colin Donnell,Anything Goes,That Thing Called Love,2025-06-05,,0,,,,,,4WC0R4c3ksBrDgmrxhtP7g
1,,,,2025-06-05,What I Did for Love,Natalie Cortez,A Chorus Line (New Broadway Cast Recording (2006)),That Thing Called Love,2025-06-05,,0,,,,,,27gx4tgN4EvH2JlFKeDAjo
1,,,,2025-06-05,Ohio,Anson Bagley,In Pieces: A New Musical (Highlights) [Deluxe Edition],That Thing Called Love,2025-06-05,,0,,,,,,4KOYiuN01ktBbO8FTQdXUV
1,,,,2025-06-05,"The Song That Goes Like This - From ""Spamalot"" Original Broadway Cast Recording",Christopher Sieber,Monty Python's Spamalot,That Thing Called Love,2025-06-05,,0,,,,,,3LwfZ5u7kBI79r8saMvFIb
1,,,,2024-04-16,Let It Rain,Eric Clapton,Eric Clapton,OPM playlist,2024-04-16,,0,,,,,,7DiaNCPgH5dJ1cJ925jTAA
1,,,,2024-04-16,Closer to the Sun,Slightly Stoopid,Closer to the Sun,OPM playlist,2024-04-16,,0,,,,,,1UL8GkVAs6UcWF6BZ3DYZt
1,,,,2024-04-16,Movin' out of the City,Armchair Boogie,Armchair Boogie,OPM playlist,2024-04-16,,0,,,,,,1UKpS6TPZlLbbP2ZkQlbpd
1,,,,2024-04-16,Strangers,The Kinks,The Journey - Pt. 1,OPM playlist,2024-04-16,,0,,,,,,1zASWE0kHPLq6KdstRGXwa
