personID,"albums_album","albums_artist","albums_id"
1,"Bewitched: The Goddess Edition","Laufey","1hmlhl74JfLyUqmqtCwvFb"
1,"Come Little Children","Ebucs","0wBnUeyPiCNNKRUg5MTtWb"
1,"Dear Evan Hansen (Original Broadway Cast Recording)","Various Artists","0LhDyJXelg31FKLW5GDcKi"
1,"At Least For Now","Anya Movius","27ac5OLXCEwg69cP4jV6Qi"
1,"GUTS","Olivia Rodrigo","1xJHno7SmdVtZAtXbdbDZp"
1,"1989","Taylor Swift","34OkZVpuzBa9y40DCy0LPR"
1,"Annihilation","Patrick Oer","3IgJ62LCfWSufrWPf9rIWq"
1,"Everything To Everyone","Reneé Rapp","1KSAqXIHFEWo73keoru7FX"
1,"Lovely","Ektaal A Cappella","6F9kclhd8uhOzZFsnvJpMU"
1,"Anything Goes","Cole Porter","6yH8LWqApBErvtBGSSwGzL"
1,"RWBY, Vol. 8 (Music from the Rooster Teeth Series)","Various Artists","6doVJWf5Mm5PzrH6L6YwNw"
1,"LM5 (Deluxe)","Little Mix","7Ho8gAx4haSxv1eFLQwvTj"
1,"SIX: LIVE ON OPENING NIGHT (Original Broadway Cast Recording)","SIX","0VEsR6Rw4ApD0jeIlx4gsq"
1,"Wicked","Stephen Schwartz","1woCvthHJakakroP6dXNxs"
1,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish","0S0KGZnfBGSIssfF54WSJh"
1,"Moana","Lin-Manuel Miranda","6pZj4nvx6lV3ulIK3BSjvs"
1,"Frozen 2","Various Artists","4M07HWIlZr7zoXoxDHR5mz"
1,"COWBOY CARTER","Beyoncé","6BzxX6zkDsYKFJ04ziU5xQ"
1,"I Love My Girl, She's My Boy","BETWEEN FRIENDS","6xAbweCyvExMjOQmOl194h"
1,"Midnights","Taylor Swift","151w1FgRZfnKZA9FEcg9Z3"
1,"The Reykjavík Sessions","Laufey","2TJvQ6w1v1rcabWhhNBDWS"
1,"SOUR","Olivia Rodrigo","7bYichzvtYHdjF8HF69dyA"
1,"Little Shop Of Horrors - New Broadway Cast","Soundtrack/Cast Album","2NM95wJDobLrXFo3BTu7yL"
1,"thank u, next","Ariana Grande","2fYhqwDWXjbpjaIJPEfKFw"
1,"Closer to You","Sammy Rae & The Friends","5js8Ri1Jy1Rm63nyEFRuh5"
1,"BRAT","Charli xcx","2lIZef4lzdvZkiiCzvPKj7"
1,"The Lion King: The Gift","Beyoncé","552zi1M53PQAX5OH4FIdTx"
1,"Ungodly Hour","Chloe x Halle","1ReoUTt497nUg3u1ERgYwS"
1,"Ungodly Hour","Chloe x Halle","2HIaUwS0PTUeqFFYHBBGAN"
1,"The Phantom Of The Opera","Andrew Lloyd Webber","36bEg6FTBaZGLg9ngJZIU6"
1,"Kagome","Akira","49T7LeaD2MQnFgsf2aMmRE"
1,"reputation","Taylor Swift","6DEjYFkNZh67HP7R9PSZvv"
1,"Legally Blonde The Musical (Original Broadway Cast Recording)","Nell Benjamin","7os43c6BUhMJkDUaEtDufk"
1,"something's gotta give","lala","3g2S5ZnOSyDLXO3Elx5hJE"
1,"Brat and it’s completely different but also still brat","Charli xcx","36P07bti6xD99o7S1acmin"
1,"The Rise and Fall of a Midwest Princess","Chappell Roan","0EiI8ylL0FmWWpgHVTsZjZ"
1,"Hadestown (Original Broadway Cast Recording)","Original Broadway Cast of Hadestown","1J1yxODbNlqKbwRqJxYJUP"
1,"Snow Angel","Reneé Rapp","7pPV0OFuytqNj7ar82Hizf"
1,"Mean Girls (Original Broadway Cast Recording)","Various Artists","6m7n9JuAOMcy8X3ntO0Ktf"
1,"Wear The Gown","Cherry Pit","3wFFhJvndro95CvEVmJMGJ"
1,"Plastic Hearts","Miley Cyrus","5BRhg6NSEZOj0BR6Iz56fR"
1,"mona lisa","mxmtoon","3wVcBPUDJrmInLD0G1W1r2"
1,"Fearless (Taylor's Version)","Taylor Swift","4hDok0OAJd57SGIT8xuWJH"
1,"rising","mxmtoon","6moZ0XzoBW9Yg35w0y5GlN"
1,"Everyday Is Christmas","Sia","2vcGYJcPfXUmCdcXXqqukg"
1,"Bewitched","Laufey","1rpCHilZQkw84A3Y9czvMO"
1,"Midnight Sun","Zara Larsson","0nte5x6fXd37Nt7jALSmx0"
1,"Fine Line","Harry Styles","7xV2TzoaVc0ycW7fwBwAml"
1,"SOS","SZA","07w0rG5TETcyihsEIZR3qG"
1,"Into The Woods","Sara Bareilles","5z6BFXI711HbSAXDjgOAHE"
1,"BITE ME","Reneé Rapp","6ULnaZahd0zTGVUBVQO6mN"
1,"Sweetener","Ariana Grande","3tx8gQqWbGwqIGZHqDNrGe"
1,"Alligator Bites Never Heal","Doechii","60UzB8mOCMpc7xkuJE6Bwc"
1,"RENAISSANCE","Beyoncé","6FJxoadUE4JNVwWHghBwnb"
1,"Fiddler on the Roof","Various Artists","56koGfAf0uOKTbOnYAcAKS"
1,"GUTS (spilled)","Olivia Rodrigo","1D06fz3cuob62ysTS8k6gu"
1,"The Reykjavík Sessions","Laufey","6ETdl4OHcpXhMQdLWstM2G"
1,"BEAUTIFUL CHAOS","KATSEYE","4llrXTk6u4QYI1j7KHIsCx"
1,"Dancing In The Flames","The Weeknd","5XsZ5ZTcIHnZxjynaGxA0g"
1,"PARAVI","Paravi","27d1Ladlcuhf4E10k07EVR"
1,"A Matter of Time","Laufey","5rMOCuiWWbEBcHaKM69Hmv"
1,"evermore","Taylor Swift","2Xoteh7uEpea4TohMxjtaq"
