personID,"artists_name","artists_id"
1,"Alessia Cara","2wUjUUtkb5lvLKcGKsKqsR"
1,"Amythyst Kiah","1lhaaKpTyXOnjp79M3xYBl"
1,"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR"
1,"Beyoncé","6vWDO969PvNqNYHIOW5v0m"
1,"Chappell Roan","7GlBOeep6PqTfFi59PTUUN"
1,"Ektaal A Cappella","4hzxV5MRlU9qRARmCe04mC"
1,"Elizabeth Gerardi","01VYmP8UHNPe52WfMgsb4n"
1,"Harli & The House of Jupiter","67zwdiYWUiasZ51poMyqHP"
1,"Lizzo","56oDRnqbIiwx4mymNEv7dS"
1,"Lyn Lapid","4pfy05cNNTacuOQ6SiSu4v"
1,"Paravi","3hu0zovv9ZERrUy09lIsTH"
1,"jenny nuo","6gvfMsa2f3hXTmsewfTyhz"
1,"mxmtoon","0HthCchcL0kVLHTr113Vk1"
10,"Malcom Rojas","0kcpzFA1agB2sA06rHcvIh"
10,"Mishaal Tamer","2NM1t8dMvgeu9Lfl06574g"
10,"The Chainsmokers","69GGBxA162lTqCwzJG5jLp"
10,"The Kid LAROI","2tIP7SsRs7vjIcLrU85W8J"
2,"A$AP Rocky","13ubrt8QOOCPljQ2FL1Kca"
2,"Mokyo","1kRGgLBLwdQ16TxyfN1YgP"
2,"minj","5kXmzUQtWcPxNuf8mUHIgD"
3,"Conan Gray","4Uc8Dsxct0oMqx0P6i60ea"
3,"dodie","21TinSsF5ytwsfdyz5VSVS"
5,"Caamp","0wyMPXGfOuQzNR54ujR9Ix"
5,"Chappell Roan","7GlBOeep6PqTfFi59PTUUN"
5,"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi"
5,"Goth Babe","7o96HO2zrujyATtVsqGhh3"
5,"Laufey","7gW0r5CkdEUMm42w9XpyZO"
5,"Paolo Nutini","7x5rK9BClDQ8wmCkYAGsQp"
5,"Ray LaMontagne","6DoH7ywD5BcQvjloe9OcIj"
5,"Ye Vagabonds","34Or4SetJBRvrlE8AO1qDO"
6,"21 Savage","1URnnhqYAYcrqrcwql10ft"
6,"2Pac","1ZwdS5xdxEREPySFridCfh"
6,"ANALOG 02","63SnOCIoPySI5QNZv6pMm4"
6,"Aaron Raitiere","3Gbx4tL0G9U5j233fXABXw"
6,"Ajayz Kesbhat","3XFyn8ue8AScghvckCu30S"
6,"Axel Jay","52mjWPBTKQzuLAQG0wsuqz"
6,"B.o.B","5ndkK3dpZLKtBklKjxNQwT"
6,"Bakar","3K2Srho6NCF3o9MswGR76H"
6,"Bee Gees","1LZEQNv7sE11VDY3SdxQeN"
6,"Bella White","7Bk7ojRJfkv48w69JNF66V"
6,"Benjamin Dakota Rogers","255w1O3tp19jnUZPI6cMVL"
6,"BigXthaPlug","6qxpnaukVayrQn6ViNvu9I"
6,"Billy Squier","3Fz2GbraVXhcpXnoi2Oe1r"
6,"Billy Strings","1ZN1c1qWEGZNX1pGeKCPpf"
6,"Blxst","4qXC0i02bSFstECuXP2ZpL"
6,"Brand New","168dgYui7ExaU612eooDF1"
6,"Cale Tyson","0BU835xMjZ04GXuJSxBrJy"
6,"Caleborate","7bpDJUH5hnffIYHID6h3Et"
6,"Calvin Harris","7CajNmpbOovFoOoasH2HaY"
6,"Cameron Sacky Band","7cuhHElVWaF67zEb1cGIG0"
6,"Chance the Rapper","1anyVhU62p31KFi8MEzkbf"
6,"Charles Wesley Godwin","2ErsJAz6qJ5cqjoVAvfvaC"
6,"Chris Stapleton","4YLtscXsxbVgi031ovDDdh"
6,"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj"
6,"Colter Wall","3xYXYzm9H3RzyQgBrYwIcx"
6,"Cozz","5oFkj1qSlyBUmV5d6Edgtq"
6,"Cream","74oJ4qxwOZvX6oSsu1DGnw"
6,"Daniel Caesar","20wkVLutqVOYrc0kxFs7rA"
6,"Dave B.","5bfqwcEcRrMhtY9smw3IeJ"
6,"Don Louis","5LICWu7uFLkdJVcEiTnRBX"
6,"Don Toliver","4Gso3d4CscCijv0lmajZWs"
6,"Drake","3TVXtAsR1Inumwj472S9r4"
6,"Eminem","7dGJo4pcD2V6oG8kP0tJRR"
6,"Evie Ladin","6sTZhHbZkS4PiHlE2StJkc"
6,"Evie Ladin Band","1iLSCtfJXy3IVYzeAkJXDJ"
6,"Fleetwood Mac","08GQAI4eElDnROBrJRGE0X"
6,"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg"
6,"Frank Ocean","2h93pZq0e7k5yf4dywlkpM"
6,"GIVĒON","4fxd5Ee7UefO4CUXgwJ7IP"
6,"George Strait","5vngPClqofybhPERIqQMYd"
6,"Hank Weaver","6W6TWkaA3hr7K7NGgM4yGh"
6,"Horseshoes & Hand Grenades","4nl7okSNAZuu9DWr9jkzSs"
6,"Iron Maiden","6mdiAmATAx73kdxrNrnlao"
6,"J.R. Carroll","3KULmzjXBD6uu50to1WXRm"
6,"JAY-Z","3nFkdlSjzX9mRTtwJOzDYB"
6,"Jack Black","0qpMYTgbXRi1ZcX6vend3T"
6,"Jack Harlow","2LIk90788K0zvyj2JJVwkJ"
