personID,"episodes_name","episodes_show","episodes_id"
1,"Inside Yohji Yamamoto’s Fashion Philosophy","The Business of Fashion Podcast","28H4mWcoxrqKY94Asc9TQ5"
1,"The Genesis of the Modern Luxury Fashion Industry","The Business of Fashion Podcast","7iEoLXewL5SN3etPEojyJa"
1,"The Debrief: How Big Brands Choose Their Creative Directors","The Business of Fashion Podcast","6YJ1w0GLTT2OT4JyNkynij"
10,"human - dodie (ft. jon cozart)","gems that aren't on spotify","4AtGqn3n6OHKANsM9hzxZm"
2,"Come through ","Чая","0AfwmNjHLASCzfIxO19OKH"
2,"Being Kind to Yourself","Hidden Brain","27tdCHq4OVXJ1sOWOy0Vcs"
2,"Kinematics: Types of Forces 🏋️‍♀️ - AP Physics 1 Learning & Test Prep","AP Physics - Study by Seneca","4OUHD3EYVRa0cas2CCaWe1"
2,"They Can't Fight","Part Of The Problem","7AKvkAEdDTwKmPgKWCd8w7"
2,"The Great Gatsby Episode Six","The Great Gatsby Audio Book","3LTEgFk3IEdgqXrB8Cy5rA"
2,"The Great Gatsby Episode Three","The Great Gatsby Audio Book","4j4jRXsUIZ064GMWeJGoIB"
2,"The Great Gatsby Episode Five","The Great Gatsby Audio Book","3IhkKzktRZFAGGftONc18H"
2,"The Great Gatsby Episode Two","The Great Gatsby Audio Book","7u36x4Zcfz16QHdspsMkZg"
2,"The Great Gatsby Episode Nine","The Great Gatsby Audio Book","07mK2mBi2WYRxkwiw9Z9Eq"
2,"thought i was dead (w carti)","songstypestuff","32WHxzWBUWTbsiYfC3Pt8q"
2,"UR THE MOON / DIFFERENT DAY","tasahhhh","2yPdp3AxiNxAGxza1wmqbP"
3,"Val 1: Shi**y and Good Values","All Therapists are Jerks, and . . .","6XaMJ6XsxiXwKL9L6w13bt"
3,"The Victims’ Rights Movement","You're Wrong About","2xTnhICxB1IkSIB3T9Ot0r"
3,"Brown Noise Sound Machine (12 Hours)","12 Hour Sound Machines for Sleep (no loops or fades)","3pE4uKFwCzd5TA2A6t4rHr"
3,"regaining perspective","anything goes with emma chamberlain","0AT36Vz92Kgwwwx3bbZOXW"
3,"How to Start Over: When You Think It's Too Late","How to Age Up","2ph57JUfGQKThMAvbsMppQ"
3,"Landing A Job In The Trades","Life Kit","2eIVITh7kn5NhQ2cRcWSLy"
3,"Eating Healthy Without Overspending","Life Kit","59IpuoAvHsicxQvGtD1oiI"
3,"Regulate Your Mood With Solitude","Life Kit","4ZaniVRH4XfRXxkEUci5bn"
3,"How to make a hard decision","Life Kit","471NtMPvGruOqZNpm06AXI"
3,"5 Steps To Saving Money On A Move","Life Kit","1KWoW3UUjC3BCD5OrSFP7z"
3,"How To Sleep Better With These Bedtime Rituals","Life Kit","7x4OEfSnxub8sW1ffvcijY"
3,"Setting boundaries with family","Life Kit","6ijcS78w2OJvzn7uvSYPgh"
3,"Reframing (And Reclaiming) Your Relationship With Food","Life Kit","6VxuS7rPHiJrqxtNaOtNkv"
3,"Tackling Impostor Syndrome","Life Kit","1Q1KZc2C3Vdin3z4vww284"
3,"How Body Positivity Can Lead To Better Health","Life Kit","5VLeck2MOZSLbvxdwQIlc2"
3,"You're Probably Not As Open-Minded As You Think","Life Kit","0CCdQwnAhIBfh1QaEaLI2u"
3,"Do We Even Know How To Socialize Anymore?","Life Kit","5EPSImL0nlOCsJOHsQBw0u"
3,"Is Your Carbon Footprint BS?","How to Save a Planet","5L1RVInqBXtZgEzWTHOaTg"
3,"NFTs (Non-Fungible Tokens)","The Complete Guide to Everything","67CERttOYAfKHN6V7geKsd"
3,"260 - Unwashed & Unabashed","My Favorite Murder with Karen Kilgariff and Georgia Hardstark","40BiskF3cFI0cwl9cKIq6L"
3,"271 - 4 Hours of Sacred Pausing","My Favorite Murder with Karen Kilgariff and Georgia Hardstark","0h3RxxoYGoNW2kyvOlkzmH"
3,"266 - Rave After Rave","My Favorite Murder with Karen Kilgariff and Georgia Hardstark","1WmntiF1YyvuG7SghNJbVV"
3,"274 - Arrested Behavior","My Favorite Murder with Karen Kilgariff and Georgia Hardstark","2ZXchczpBUb7MDL8l9LfiY"
3,"270 - Three Out Of Ten","My Favorite Murder with Karen Kilgariff and Georgia Hardstark","67E3BpngGnSaGBKDIcovli"
3,"119 - Fingers Everywhere","My Favorite Murder with Karen Kilgariff and Georgia Hardstark","4MqSHf2GrDHGyAaGKilVtY"
3,"268 - All-Stars of 7th Grade","My Favorite Murder with Karen Kilgariff and Georgia Hardstark","4RTcRHHTqpuC306zykiTrc"
3,"Part 1 of 6: Brené with Ashley and Barrett for the Summer Sister Series on The Gifts of Imperfection","Unlocking Us with Brené Brown","3UrjBdrskRKfjh2UCK7UHu"
3,"Relationship Repair","TED Radio Hour","6QRaVIByyN8MBhwPrLoPNY"
4,"How to Live a Good Life","Good Life Project","7ge7yeuHMuWPkOEWaWlFVe"
4,"How to make a hard decision","Life Kit","471NtMPvGruOqZNpm06AXI"
4,"Diabetology (BLOOD SUGAR) Part 2 Encore with Mike Natter","Ologies with Alie Ward","0dKJeiceNPBVJcf8ilscxh"
