personID,"other"
1,"spotify:local:::B+flourish+41-65:36"
5,"spotify:local:AJR:Way+Less+Sad:Way+Less+Sad:206"
5,"spotify:local:Zara+Larsson+%2F+MNEK:So+Good:Never+Forget+You:211"
5,"spotify:local:The+Kid+LAROI+%2F+Justin+Bieber:STAY+%28with+Justin+Bieber%29:STAY+%28with+Justin+Bieber%29:141"
5,"spotify:local:The+Kid+LAROI+%2F+Justin+Bieber:F%2ACK+LOVE+3%3A+OVER+YOU:STAY+%28with+Justin+Bieber%29:141"
5,"spotify:local:The+Chainsmokers+%2F+sirenXX:Kanye:Kanye:229"
5,"spotify:local:The+Chainsmokers+%2F+Daya:Don%27t+Let+Me+Down:Don%27t+Let+Me+Down:208"
5,"spotify:local:Shawn+Mendes+%2F+Camila+Cabello:Shawn+Mendes+%28Deluxe%29:Se%C3%B1orita:191"
5,"spotify:local:Lizzo:Cuz+I+Love+You+%28Deluxe%29:Truth+Hurts:173"
5,"spotify:local:Lizzo+%2F+Ariana+Grande:Good+as+Hell+%28feat.+Ariana+Grande%29+%5BRemix%5D:Good+as+Hell+%28feat.+Ariana+Grande%29+-+Remix:159"
5,"spotify:local:JAY-Z+%2F+Kanye+West:Top+Five+%28Music+From+And+Inspired+By+The+Motion+Picture%29:Ni%2A%2Aas+In+Paris:219"
5,"spotify:local:Harry+Styles:Fine+Line:Watermelon+Sugar:174"
5,"spotify:local:Elton+John+%2F+Dua+Lipa+%2F+PNAU:Cold+Heart+%28PNAU+Remix%29:Cold+Heart+-+PNAU+Remix:202"
5,"spotify:local:Ed+Sheeran:Shivers:Shivers:207"
5,"spotify:local:Drake+%2F+Future+%2F+Young+Thug:Certified+Lover+Boy:Way+2+Sexy+%28with+Future+%26+Young+Thug%29:257"
5,"spotify:local:DVBBS+%2F+24kGoldn+%2F+blackbear:Tinted+Eyes+%28feat.+blackbear+%26+24kGoldn%29:Tinted+Eyes+%28feat.+blackbear+%26+24kGoldn%29:175"
5,"spotify:local:Childish+Gambino:This+Is+America:This+Is+America:225"
5,"spotify:local:Camila+Cabello:Romance:Liar:207"
5,"spotify:local:Camila+Cabello+%2F+Young+Thug:Camila:Havana+%28feat.+Young+Thug%29:217"
6,"spotify:local:Kali+Uchis::What+They+Say:139"
