personID,"shows_name","shows_publisher","shows_id"
1,"Is our children learning? A political podcast.","Helen acker","7fRNcui3AWpP1kTy0SJBka"
1,"The Knight Shift Radio","The Knight Shift Radio","57FgNcCKN6NPgpdVRF3Y3a"
1,"The Round Table: A YVote Podcast","YVote","1dN2Mg15AoHbVjFwKvEVlW"
10,"CREATIVO","Roberto Mtz","5Wik1DfA7kLiqRP9wNwFap"
10,"PodCavs","WUVA","4dn4rUbQOZjPyMCVjzPF4R"
10,"Telemundo Noticias","Telemundo Network Group","2QooXko7Z8EbZ6q0sD1Qj3"
2,"Duolingo French Podcast","Duolingo","2Mu5dTlsG1vRE25twu1P2l"
2,"Friends That Invest","Friends That Invest","4jWkbLYqVv93FjLkAcvZ1y"
2,"NPR News Now","NPR","6BRSvIBNQnB68GuoXJRCnQ"
2,"mystrbl","mystrbl","0AdcX14AmbcMXBrDJVnyxp"
2,"the zurkie show","the zurkie show","6jUQ7dBtI2LHusmfr2uhzc"
3,"36 Questions – The Podcast Musical","Two-Up","0E7Js81KkQ0CWzfROJh04n"
3,"And That's Why We Drink","Christine Schiefer, Em Schulz | Para Pods","3JWnH3U4VPJI6DlB0YsiKm"
3,"Autism in the Adult","Theresa M Regan, Ph.D.","2POoTBvzgPr0yIkU7dmw2m"
3,"BLACK HANDS - A family mass murder","Stuff Audio","3jgt4218rVMRh9OcIRu8qd"
3,"Binchtopia","Julia Hava & Eliza McLamb","5Uu04mHwFS9NeCeZ6v0r5U"
3,"Carrier","QCODE","0hxc4GGGWld55Jd6ArWT5k"
3,"Dissect","Spotify Studios","2b025hq3gJ17tQdxS3aV43"
3,"Getting Better with Jonathan Van Ness","Sony Music Entertainment / Jonathan Van Ness","0wK8MPt9f2z2R4HustgqHh"
3,"History in the Bible","Garry Stevens","4muq4z72yzdsC1b1HWWOEa"
3,"Joshua Bassett Unreleased Songs","Lucinda Santisi","2tr1uVVRRuBSCGImoM4cvY"
3,"Joshua Bassett Unreleased Songs","Lucinda Santisi","390t5idJg4albIvbnucTRj"
3,"Let's Talk About Myths, Baby! | Greek Mythology & the Ancient Mediterranean","Liv Albert ","6S9jAhlyZtr5dj2tqYXeJ6"
3,"Life Kit","NPR","5J0xAfsLX7bEYzGxOin4Sd"
3,"Modern Love","The New York Times","03Er7mSPq9IEewOgbPD3vO"
3,"My Favorite Murder with Karen Kilgariff and Georgia Hardstark","Exactly Right and iHeartPodcasts","0U9S5J2ltMaKdxIfLuEjzE"
3,"Normal Gossip","Normal Gossip","0KVZ16mLZ1bbNlnKemYTzm"
