personID,"tracks_album","tracks_artist","tracks_track","tracks_id"
1,"A Star Is Born Soundtrack","Lady Gaga","Is That Alright?","172e82oK9vGoBPvc6SqMm5"
1,"Born This Way","Lady Gaga","Bloody Mary","11BKm0j4eYoCPPpCONAVwA"
1,"Bewitched","Laufey","Dreamer","1YxQxV5sKZN1TgVpXl5MLA"
1,"WILLOW","WILLOW","Time Machine","1jVjOcs7QeQZJXScbqvofI"
1,"Be Alive (Original Song from the Motion Picture ""King Richard"")","Beyoncé","Be Alive (Original Song from the Motion Picture ""King Richard"")","1RI4YQVFh7onQD07QuL8ND"
1,"Black Panther The Album Music From And Inspired By","Kendrick Lamar","All The Stars (with SZA) - From ""Black Panther: The Album""","3GCdLUSnKSMJhs4Tj6CV3s"
1,"RWBY, Vol. 9 (Music from the Rooster Teeth Series)","Casey Lee Williams","Guide My Way (Red Like Roses - Part III)","26hNlDVFfM7FJnvggt1Xml"
1,"MAYHEM","Lady Gaga","Disease","0T3Hw3kPj9T2E4UoaSXmfn"
1,"The Outsider EP","Lyn Lapid","The Outsider","51LpurBL96CWGg09naDpRl"
1,"Skeleton","Paravi","Skeleton","0wdnfaD8CN0Yq97p63Ph4T"
1,"Leave Me Alone","Reneé Rapp","Leave Me Alone","1T38okUZknebljidMNSvfJ"
1,"9 To 5 And Odd Jobs","Dolly Parton","9 to 5","4w3tQBXhn5345eUXDGBWZG"
1,"Copycat Killer","Phoebe Bridgers","Savior Complex (Copycat Killer Version)","5k3zPkOPA470WacMuIBRTX"
1,"SPAGHETTI","LE SSERAFIM","SPAGHETTI (Member ver.)","07ZkZzMHE6EEbHD50WUrgk"
1,"Where or When","Laufey","Where or When","4gJXJkd0zFFanZL2w0RsMB"
1,"Ungodly Hour","Chloe x Halle","Baby Girl","1AYn4YyxEF0SR3fGr6x7KN"
1,"So This Is Love","Sneha","So This Is Love","492ctexUJMxJyYc8U247Po"
1,"Twirl","Anya Movius","Twirl","4JKQh7cN6SqUbIyy4kuyc4"
1,"BRAT","Charli xcx","I might say something stupid","0PFZCt7UNmpas24HejQGu8"
1,"Lemonade","Beyoncé","Daddy Lessons","71OvX5NNLrmz7rpq1ANTQn"
1,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift","Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","7l2tmgUhV7Y2aJHjiszifg"
1,"RENAISSANCE","Beyoncé","AMERICA HAS A PROBLEM","2XMAWynSTIst5KmLSv0Npf"
1,"CRAZY","LE SSERAFIM","CRAZY","3AoEQRuFf8zVXWqSLo2UOi"
1,"Bewitched","Laufey","California and Me","5VP1yXviUwA0KA0ewit5pe"
1,"Sports","Beach Bunny","Sports","77G0k1La0c5Dw8bAFANcyp"
1,"9 To 5 - The Musical (Original Cast Recording)","Megan Hilty, Stephanie J. Block, Allison Janney and Ensemble","Shine Like The Sun","6TVH075UHv3rEoU2h5PoLc"
1,"BEAUTIFUL CHAOS","KATSEYE","M.I.A","4vyQ2NdodXhtMGsaaMBqSt"
1,"Back To Basics","Christina Aguilera","Ain't No Other Man","7huo2wvrCgRucUsjdSDLQV"
1,"TYLA","Tyla","Truth or Dare","7axl6v0Yv4ksLVMt6XItpc"
1,"WEEDKILLER","Ashnikko","Cheerleader","150oCxP7slbU48qYS8ez78"
1,"Sincerely,","Kali Uchis","Heaven is a Home…","7A6f6HJqsl5UdG7kBXzXSf"
1,"The Outsider EP","Lyn Lapid","My Little Island","09cWMixCAoFoFMmegG4wqf"
1,"RWBY, Vol. 8 (Music from the Rooster Teeth Series)","Jeff Williams","For Every Life","64sIEwPaVmPJdeXmYIVQ8h"
