artist.genres,artist.id,artist.name,artist.popularity,artist.followers
[],3KwmxIhSe9UTSEF37kwngR,SHAED,55,206821
[],0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN,67,1185028
['slap house'],5rGrDvrLOV2VV8SCFVGWlj,Imanbek,68,284802
[],2NjfBq1NflQcKSeiDooVjY,Tones And I,73,3044162
['pop'],74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,91,29525087
[],0pu0ZEMZtgePMOE6m19Cne,Jared Benjamin,60,268033
[],6maAVJxVTGW1xA3LokpQm8,LilyPichu,46,294466
['sea shanties'],1PKErrAhYFdfrDymGHRQRo,Nathan Evans,67,687919
[],4Euia7UzdRshy1DJOSMTcs,220 KID,54,31403
[],3Uios5Yyv4i8EBs9H3DUY5,Shuba,40,128167
['trap metal'],7yntSJ6uojO3z6GFUVwhAW,CORPSE,61,2395239
['trap metal'],0x7qiZJaal6j8qS7yCydFk,Savage Ga$p,59,273242
[],26cMerAxjx9GedFt0lMDjm,Bella Poarch,61,1424117
[],5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,87,36016108
[],1A7NzAUPSwbUmfyGEmRM7h,Anya Nami,55,180256
[],06HL4z0CvFAxyc27GXpf02,Taylor Swift,98,151397371
[],0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,82,53773035
['edm'],64KEffDW9EtZ1y2vBYgq8T,Marshmello,82,34701224
[],5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,83,27076206
['slap house'],3LVYHgfHgCTy3QSRt5kKQg,Rasster,38,13089
['slap house'],5vPqlDBYNZiF5SrHGS6Cyt,Erin Bloomer,34,18350
[],0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,75,12652778
['rap'],3TVXtAsR1Inumwj472S9r4,Drake,98,106930087
['edm'],2qxJFvFYMEDqd7ui6kSAcq,Zedd,77,6179392
['country'],6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,69,910718
[],4lDBihdpMlOalxy1jkUbPl,Grey,66,183666
[],1fCYSbCNlmuj3tteIn02rD,The Evil Exes,24,5276
[],6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,92,122901156
[],7bZGP9ijvv55LOENT634Mj,PS1,42,12079
['stutter house'],5YCU9eHY4IYTyNa8XRFuw9,Alex Hosking,45,6896
[],4njdEjTnLfcGImKZu1iSrz,AWOLNATION,62,2068316
[],1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,118209951
['pop'],66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,93,109594906
[],0Cp8WN4V8Tu4QJQwCN5Md4,BENEE,64,888018
['bedroom pop'],6sHCvZe1PHrOAuYlwTLNH4,Gus Dapperton,57,507071
[],6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,77,15756447
[],7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,74,12329732
[],6USMTwO0MNDnKte5a5h0xx,Y2K,57,336672
[],41X1TR6hrK8Q2ZCpp2EqCz,bbno$,78,3028104
['moombahton'],738wLrAtLtCtFOLvQBXOXp,Major Lazer,77,6363532
[],0bdfiayQAKewqEvaU6rXCv,MØ,74,1473072
[],540vIaP2JwjQb9dm3aArA4,DJ Snake,82,9488458
[],7nqlScm2smydSRl13eaP8E,Nea,52,60857
['tropical house'],4bL2B6hmLlMWnUEZnorEtG,Felix Jaehn,73,1323425
[],6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,80,2381376
[],4wrzxtBZw20ufDstKyTnnP,Rachel Chinouriri,61,373417
[],4G9NDjRyZFDlJKMRL8hx3S,sombr,86,3727131
[],2HkSsS8O2U2gPhnCGVN5vn,BETWEEN FRIENDS,61,346136
"['emo', 'screamo', 'post-hardcore']",4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,78,4168183
[],69GGBxA162lTqCwzJG5jLp,The Chainsmokers,83,21613613
[],4ellgkPyhbJetngXmHX5Zh,Absolutely,52,74826
[],1rHOtdmGNr5vcYNw5v7QGC,Kenny Beats,58,225561
[],1fWoiW6kTjrVDoRc4ba3kh,Chanpan,50,68410
[],7MoIc5s9KXolCBH1fy9kkw,Japanese Breakfast,60,861382
[],5SXuuuRpukkTvsLuUknva1,Baby Keem,73,3245697
['alternative r&b'],7HO5fOXE4gh3lzZn64tX2E,Mariah the Scientist,74,1434935
[],0NB5HROxc8dDBXpkIi1v3d,Remi Wolf,63,644105
[],163tK9Wjr9P9DmM0AVK7lm,Lorde,80,10695246
['retro soul'],0oK5D6uPhGu4Jk2dbZfodU,Thee Sacred Souls,71,990252
['electroclash'],2mqiqsaX4LzFnUP7PmHGAb,The Dare,52,181508
"['midwest emo', 'pop punk', 'emo']",1lKZzN2d4IqiEYxyECIEHI,Hot Mulligan,63,353337
[],6LuN9FCkKOj5PcnpouEgny,Khalid,83,17117826
[],246dkjvS1zLTtiykXe5h60,Post Malone,88,48223716
['r&b'],7tYKF4w9nC0nq9CsPZTHyP,SZA,89,34721344
['pop punk'],3M9XAM57a4qFz3v6Lq27t2,Kellin Quinn,65,132808
[],0xPoVNPnxIIUS1vrxAYV00,Del Water Gap,64,298929
[],1U1el3k54VvEUzo3ybLPlM,Kali Uchis,85,9968021
[],1uNFoZAHBGtllmzznpCI3s,Justin Bieber,93,86925813
[],61shKG2hWuRTW2PEAPk7fo,Amelia Moore,54,207339
[],4DHLoiIqFYYFjH09WduvFd,Coco Jones,64,850643
[],4nqQTosM2Mbg7iRjvJU0N0,Samara Cyn,51,178803
"['alternative r&b', 'indie soul']",5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae,77,985386
['bedroom pop'],7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,76,6912317
"['k-pop', 'noise music']",2dIgFjalVxs4ThymZ67YCE,Stray Kids,87,22230320
['trap latino'],3qsKSpcV3ncke3hw52JSMB,Young Miko,77,4941307
['score'],57nPqD7z62gDdq37US9XJR,Arcane,77,818597
[],74NBPbyyftqJ4SpDZ4c1Ed,Tom Morello,65,252289
[],47mIJdHORyRerp4os813jD,League of Legends,77,2136793
['alternative rock'],3jOstUTkEu2JkjvRdBA5Gu,Weezer,76,4865882
['shoegaze'],3TJZG17pjOKXwx1ELKJPfm,Wisp,64,752354
[],6beUvFUlKliUYJdLOXNj9C,King Princess,59,1761618
[],52PdgUJOjvS6Mpmjy1SAlx,hemlocke springs,49,270149
[],4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",87,25781531
['indie r&b'],6kmDosYCYjFQtywDq0DLPZ,Khamari,66,360546
[],6dC0rIJNLSFZwqckLgXJ8p,Timeflies,48,313048
[],5JZ7CnR6gTvEMKX4g70Amv,Lauv,75,6926999
['soft pop'],6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,89,124768157
[],1bqxdqvUtPWZri43cKHac8,MAX,65,978370
[],4rTv3Ejc7hKMtmoBOK1B4T,Ali Gatie,66,2205433
"['latin pop', 'latin']",7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,80,12208792
"['merengue', 'bachata', 'salsa']",3nlpTZci9O5W8RsNoNH559,Juan Luis Guerra 4.40,77,6475915
['latin pop'],7c53ZFyajVMTo08HmvoB6b,zzoilo,60,118996
[],7eLcDZDYHXZCebtQmVFL25,Aitana,77,3707349
['bedroom pop'],3M8UUCqb0mIEn5S2lO13yv,Forrest Nolan,38,40445
[],3V0ZQW0dNuVaFtbVYgSI24,Claire Rosinkranz,60,504885
[],4XQI4hyuy5xun1ou3SM8Oe,Aidan Bissett,53,193064
[],0lawSNBxNgJFQYJnQzLH8c,khai dreams,51,549257
[],5ILrArfIV0tMURcHJN8Q07,Vanessa Carlton,66,750929
"['bachata', 'latin']",3MHaV05u0io8fQbZ2XPtlC,Prince Royce,81,8923727
[],45dkTj5sMRSjrmBSBeiHym,Tate McRae,90,10234535
['reggaeton'],0KPX4Ucy9dk82uj4GpKesn,Dalex,75,5181719
['reggaeton'],11YLRSsZA3YVuQQtHXKTlz,Rafa Pabön,66,367761
"['argentine trap', 'trap', 'trap latino']",4m6ubhNsdwF4psNf3R8kwR,KHEA,74,6336002
"['reggaeton', 'urbano latino']",77ziqFxp5gaInVrF2lj4ht,Sech,80,12092490
"['reggaeton', 'urbano latino']",2LRoIwlKmHjgvigdNGBHNo,Feid,88,19623023
"['argentine trap', 'trap latino', 'turreo']",6w3SkAHYPsQ1bxV7VDlG5y,Cazzu,76,8214208
