artist.id,artist.name,artist.genre
5rGrDvrLOV2VV8SCFVGWlj,Imanbek,slap house
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,pop
1PKErrAhYFdfrDymGHRQRo,Nathan Evans,sea shanties
7yntSJ6uojO3z6GFUVwhAW,CORPSE,trap metal
0x7qiZJaal6j8qS7yCydFk,Savage Ga$p,trap metal
64KEffDW9EtZ1y2vBYgq8T,Marshmello,edm
3LVYHgfHgCTy3QSRt5kKQg,Rasster,slap house
5vPqlDBYNZiF5SrHGS6Cyt,Erin Bloomer,slap house
3TVXtAsR1Inumwj472S9r4,Drake,rap
2qxJFvFYMEDqd7ui6kSAcq,Zedd,edm
6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,country
5YCU9eHY4IYTyNa8XRFuw9,Alex Hosking,stutter house
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,pop
6sHCvZe1PHrOAuYlwTLNH4,Gus Dapperton,bedroom pop
738wLrAtLtCtFOLvQBXOXp,Major Lazer,moombahton
4bL2B6hmLlMWnUEZnorEtG,Felix Jaehn,tropical house
4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,emo
4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,screamo
4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,post-hardcore
7HO5fOXE4gh3lzZn64tX2E,Mariah the Scientist,alternative r&b
0oK5D6uPhGu4Jk2dbZfodU,Thee Sacred Souls,retro soul
2mqiqsaX4LzFnUP7PmHGAb,The Dare,electroclash
1lKZzN2d4IqiEYxyECIEHI,Hot Mulligan,midwest emo
1lKZzN2d4IqiEYxyECIEHI,Hot Mulligan,pop punk
1lKZzN2d4IqiEYxyECIEHI,Hot Mulligan,emo
7tYKF4w9nC0nq9CsPZTHyP,SZA,r&b
3M9XAM57a4qFz3v6Lq27t2,Kellin Quinn,pop punk
5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae,alternative r&b
5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae,indie soul
7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,bedroom pop
2dIgFjalVxs4ThymZ67YCE,Stray Kids,k-pop
2dIgFjalVxs4ThymZ67YCE,Stray Kids,noise music
3qsKSpcV3ncke3hw52JSMB,Young Miko,trap latino
57nPqD7z62gDdq37US9XJR,Arcane,score
3jOstUTkEu2JkjvRdBA5Gu,Weezer,alternative rock
3TJZG17pjOKXwx1ELKJPfm,Wisp,shoegaze
6kmDosYCYjFQtywDq0DLPZ,Khamari,indie r&b
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,soft pop
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,latin pop
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,latin
3nlpTZci9O5W8RsNoNH559,Juan Luis Guerra 4.40,merengue
3nlpTZci9O5W8RsNoNH559,Juan Luis Guerra 4.40,bachata
3nlpTZci9O5W8RsNoNH559,Juan Luis Guerra 4.40,salsa
7c53ZFyajVMTo08HmvoB6b,zzoilo,latin pop
