danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,duration_ms,time_signature
0.689,0.412,7,-7.523,0,0.0301,0.488,0.00016,0.0659,0.537,126.754,0lsRatBUs9HNIZAmoGABzk,184060,4.0
0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,2XU0oxnq2qxCpomAAuJY8K,209438,4.0
0.672,0.464,6,-5.624,0,0.037,0.43,0.0,0.284,0.271,92.069,0JQ5MbyriK6ruD3t6RZ7ix,200742,4.0
0.722,0.893,0,-3.255,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,3iw6V4LH7yPj1ESORX9RIN,116750,4.0
0.518,0.523,0,-11.672,0,0.0605,0.28,9.58e-05,0.211,0.6950000000000001,73.256,6BjFI5EoskHoXWTVFbcK25,185228,4.0
0.614,0.937,1,-7.443,1,0.115,0.00161,0.00136,0.103,0.386,84.98,7bCfHiRcfUjG0YVVNUL7Ve,105176,4.0
0.675,0.359,3,-5.157,1,0.108,0.614,0.0,0.137,0.792,191.903,54OBgO0Xwu20Jak9TMXbR7,155333,4.0
0.855,0.463,3,-7.454,1,0.0367,0.217,1.77e-05,0.347,0.866,102.931,7BoobGhD4x5K96Me0hqC8Q,122773,4.0
0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,0W6I02J9xcqK8MtSeosEXb,138293,4.0
0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,0V3wPSX9ygBnCm8psDIegu,200690,4.0
0.784,0.721,8,-5.457,1,0.0506,0.0149,0.00424,0.285,0.895,121.966,7fPuWrlpwDcHm5aHCH5D9t,176219,4.0
0.724,0.804,11,-4.614,0,0.0448,0.124,0.0,0.204,0.306,124.987,0tBbt8CrmxbjRP0pueQkyU,197993,4.0
0.746,0.757,5,-6.078,0,0.054,0.491,0.00124,0.0863,0.499,124.992,4x5ymi4akay9Fq5Xm1PW3E,174720,4.0
0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,6EDO9iiTtwNv6waLwa1UUq,200221,4.0
0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,09IStsImFySgyp0pIQdqAc,184732,4.0
0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,2Fxmhks0bxGSBdJ92vM42m,194088,4.0
0.667,0.892,5,-4.611,0,0.0451,0.0474,0.00083,0.374,0.541,122.981,0UBjV0qdhBKQLnl8tNXb9e,173663,4.0
0.826,0.436,1,-9.583,1,0.0558,0.441,0.615,0.0964,0.272,119.051,7ueP5u2qkdZbIPN2YA6LR0,259093,4.0
0.575,0.5,1,-7.594,0,0.0707,0.227,0.0,0.335,0.506,67.033,4W4fNrZYkobj539TOWsLO2,232857,4.0
0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977,4nK5YrxbMGZstTLbvj6Gxw,223480,4.0
0.838,0.525,10,-3.5620000000000003,1,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,0QHEIqNKsMoOY5urbzN48u,134256,4.0
0.7030000000000001,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,0.475,153.848,1000nHvUdawXuUHgBod4Wv,114893,4.0
0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,51Fjme0JiitpyXKuyQiCDo,160627,4.0
